"File","Line","FunctionName","CurrentName","Message","Severity"
".\.claude\hooks\activate_mcp_enforcement.ps1","28","Test-HookFiles","","The cmdlet 'Test-HookFiles' uses a plural noun. A singular noun should be used instead.","Warning"
".\.claude\hooks\activate_mcp_enforcement.ps1","81","Start-MCPEnforcementHooks","","The cmdlet 'Start-MCPEnforcementHooks' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\services\NSXAPIService.ps1","5","","","Ignoring 'TypeNotFound' parse error on type 'CoreAPIService'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements.","Information"
".\src\services\StandardToolTemplate.ps1","114","Initialize-StandardServices","","The cmdlet 'Initialize-StandardServices' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\services\StandardToolTemplate.ps1","158","Get-StandardCredentials","","The cmdlet 'Get-StandardCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\services\WorkflowOperationsService.ps1","1012","","","Ignoring 'TypeNotFound' parse error on type 'CoreServiceFactory'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements.","Information"
".\src\utilities\PSScriptAnalyzerUtility.ps1","284","Fix-CmdletAliases","","The cmdlet 'Fix-CmdletAliases' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","370","Fix-UnusedVariables","","The cmdlet 'Fix-UnusedVariables' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","410","Fix-UnapprovedVerbs","","The cmdlet 'Fix-UnapprovedVerbs' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","418","Fix-PluralNouns","","The cmdlet 'Fix-PluralNouns' uses a plural noun. A singular noun should be used instead.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","426","Fix-MandatoryParameterDefaults","","The cmdlet 'Fix-MandatoryParameterDefaults' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigReset.ps1","121","for","","The cmdlet 'Get-ManagerCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","715","for","","The cmdlet 'Get-SyncManagerCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1104","Add-StandardCredentialParams","","The cmdlet 'Add-StandardCredentialParams' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1184","to","","The cmdlet 'Get-ConsolidatedResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1293","to","","The cmdlet 'Merge-ConfigurationObjects' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1582","to","","The cmdlet 'Get-ExportResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1603","to","","The cmdlet 'Get-ImportResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync-v2.ps1","1828","to","","The cmdlet 'Filter-ConfigurationByResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","715","for","","The cmdlet 'Get-SyncManagerCredentials' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","1129","Add-StandardCredentialParams","","The cmdlet 'Add-StandardCredentialParams' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","1211","to","","The cmdlet 'Get-ConsolidatedResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","1321","to","","The cmdlet 'Merge-ConfigurationObjects' uses a plural noun. A singular noun should be used instead.","Warning"
".\tools\NSXConfigSync.ps1","1610","to","","The cmdlet 'Get-ExportResourceTypes' uses a plural noun. A singular noun should be used instead.","Warning"
